sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,passed_filters,passed_filters_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,reads_after_idseq_dedup,reads_after_czid_dedup,host_organism,notes,insert_size_median,insert_size_mode,insert_size_median_absolute_deviation,insert_size_min,insert_size_max,insert_size_mean,insert_size_standard_deviation,insert_size_read_pairs,sample_type,nucleotide_type,collection_date,water_control,collection_location,Project Source,Sample Species
BT_N_001,Lauren Mee,2022-10-12 07:46:40 -0700,COMPLETE,5440,2301810,780618,33.913,0,1.0,69.08,1.27,1810416,1801480,1250630,"","",987162,Bee,"","","","","","","","","",Abdomen,RNA,07/2019,No,United Kingdom,CompHym22,Bombus terrestris
BT_N_025,Lauren Mee,2022-10-12 07:50:08 -0700,COMPLETE,10017,3447844,1430168,41.48,0,1.0,75.239,1.19,2668946,2653026,2008090,"","",1690916,Bee,"","","","","","","","","",Abdomen,RNA,07/2019,No,United Kingdom,CompHym22,Bombus terrestris
BT_N_029,Lauren Mee,2022-10-12 07:50:31 -0700,COMPLETE,6441,2291362,870052,37.971,0,1.0,69.144,1.18,1875484,1861262,1296776,"","",1101876,Bee,"","","","","","","","","",Abdomen,RNA,07/2019,No,United Kingdom,CompHym22,Bombus terrestris
CA_N_007,Lauren Mee,2022-10-12 07:50:50 -0700,COMPLETE,8257,4141006,1590942,38.419,0,1.0,86.354,1.63,3460040,3458618,2987868,"","",1830286,Bee,"","","","","","","","","",abdomen,RNA,07/2017,No,United Kingdom,CompHym22,Ceratina australensis
CA_N_012,Lauren Mee,2022-10-12 07:51:11 -0700,COMPLETE,8472,3663756,1725866,47.106,0,1.0,85.279,1.44,3157384,3155960,2692576,"","",1873456,Bee,"","","","","","","","","",abdomen,RNA,07/2017,No,United Kingdom,CompHym22,Ceratina australensis
CA_N_030,Lauren Mee,2022-10-12 07:51:32 -0700,COMPLETE,7014,3928358,1853894,47.193,0,1.0,84.785,1.41,3291134,3290032,2790394,"","",1978136,Bee,"","","","","","","","","",abdomen,RNA,07/2017,No,United Kingdom,CompHym22,Ceratina australensis
SRR10034516,Lauren Mee,2022-10-14 04:11:18 -0700,COMPLETE,7393,23362346,1485726,6.359,0,1.0,87.661,2.94,5668038,5580838,4968650,"","",1688110,Bee,"","","","","","","","","",Midgut,RNA,08/2020,No,China,PRJNA562784,Apis cerana
SRR10034517,Lauren Mee,2022-10-14 04:12:35 -0700,COMPLETE,8834,26016414,1459900,5.611,0,1.0,87.092,3.26,5980842,5871106,5208858,"","",1596690,Bee,"","","","","","","","","",Midgut,RNA,08/2020,No,China,PRJNA562784,Apis cerana
SRR6148365,Lauren Mee,2022-10-14 04:14:00 -0700,COMPLETE,9480,9394920,7743653,82.424,2,0.345328,89.916,1.34,8853182,8823384,7960396,"","",5937256,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,05/2015,No,Belgium,PRJNA411946,Andrena cineraria
SRR6148367,Lauren Mee,2022-10-14 04:14:30 -0700,COMPLETE,10161,5412568,4070072,75.197,2,0.527923,86.17,1.09,4880784,4833152,4205784,"","",3874318,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,05/2015,No,Belgium,PRJNA411946,Andrena haemorrhoa
